Subject,Age,CharacterCode,Item,ISI_Sequence,ISI,ISD,BoundaryCode,ReadingScore
522,20,CL4,CL4_5,5,190,80.9197133,2nd UB,61
601,30,IT4,IT4_9,9,191,195.849432,2nd UB,39
502,26,IL1,IL1_9,9,191,62.87553419,2nd UB,44
507,23,IT1,IT1_8,8,191,154.9815295,2nd UB,48
507,23,IL1,IL1_8,8,191,79.17291519,2nd UB,48
507,23,IR2,IR2_3,3,191,44.85195648,1st UB,48
404,19,IB4,IB4_3,3,191,117.6520293,1st UB,38
515,20,CR4,CR4_2,2,191,176.1311858,1st UB,71
605,28,CR2,CR2_4,4,191,120.3411816,1st UB,67
514,23,IL2,IL2_12,12,192,61.6116872,2nd UB,62
005,23,IL2,IL2_12,12,192,152.8005236,2nd UB,39
513,22,CT4,CT4_6,6,192,81.63332653,2nd UB,46
510,21,IL1,IL1_9,9,193,45.01422553,2nd UB,67
006,18,IB3,IB3_3,3,193,62.28964601,1st UB,66
509,25,IB3,IB3_3,3,194,32.18648785,1st UB,47
005,23,IR1,IR1_5,5,194,144.4714505,1st UB,39
519,33,IB4,IB4_3,3,194,145.9682585,1st UB,78
521,22,IL4,IL4_9,9,194,151.3375036,2nd UB,68
509,25,CB3,CB3_3,3,195,37.31837751,1st UB,47
507,23,IB4,IB4_3,3,195,110.7322762,1st UB,48
507,23,CT2,CT2_7,7,195,59.16332817,2nd UB,48
401,26,IL4,IL4_9,9,195,25.45472255,2nd UB,52
601,30,CR1,CR1_4,4,195,31.41593386,1st UB,39
604,23,IR2,IR2_4,4,195,80.0844036,1st UB,75
414,22,CR4,CR4_2,2,195,66.64833081,1st UB,48
403,24,IT1,IT1_8,8,196,136.6052708,2nd UB,52
008,21,CR2,CR2_4,4,196,71.27175387,1st UB,72
601,30,IL3,IL3_8,8,196,41.15691922,2nd UB,39
605,28,IT3,IT3_6,6,196,108.5577842,2nd UB,67
414,22,IB4,IB4_3,3,196,32.984845,1st UB,48
414,22,CB4,CB4_3,3,196,22.20360331,1st UB,48
522,20,CL3,CL3_5,5,196,106.3202709,2nd UB,61
401,26,IB4,IB4_3,3,197,161.1618395,1st UB,52
604,23,IL2,IL2_12,12,197,51.73914282,2nd UB,75
512,35,IB1,IB1_5,5,197,162.8004914,1st UB,46
301,23,CL4,CL4_6,6,198,39.44704425,2nd UB,28
301,23,CR2,CR2_4,4,198,127.1416533,1st UB,28
005,23,CB1,CB1_5,5,198,136.7808466,1st UB,39
416,40,IB4,IB4_3,3,198,127.3891675,1st UB,67
416,40,CB1,CB1_5,5,198,156.4001279,1st UB,67
405,38,IL1,IL1_9,9,199,97.83659847,2nd UB,71
601,30,IT2,IT2_8,8,199,173.0809059,2nd UB,39
401,26,CL1,CL1_8,8,199,173.3580111,2nd UB,52
403,24,CT3,CT3_9,9,199,125.9920632,2nd UB,52
515,20,IR1,IR1_5,5,199,168.0029762,1st UB,71
603,23,CR4,CR4_2,2,199,208.4322432,1st UB,82
601,30,IR1,IR1_5,5,200,179.3683361,1st UB,39
508,26,IL1,IL1_9,9,200,140.2462121,2nd UB,35
504,22,IL3,IL3_7,7,200,85.08818954,2nd UB,59
504,22,IT3,IT3_5,5,200,87.92041856,2nd UB,59
504,22,CR1,CR1_4,4,200,43.829214,1st UB,59
515,20,CR1,CR1_5,5,200,209.4803093,1st UB,71
518,23,IB3,IB3_4,4,200,56.08029957,1st UB,66
519,33,IT1,IT1_8,8,200,168.3864603,2nd UB,78
520,24,IL3,IL3_8,8,200,119.9708298,2nd UB,65
502,26,IL3,IL3_8,8,201,31.69888957,2nd UB,44
515,20,CT4,CT4_6,6,201,148.8356264,2nd UB,71
005,23,CR1,CR1_5,5,201,156.0160248,1st UB,39
520,24,IR2,IR2_4,4,201,107.6289924,1st UB,65
005,23,IL1,IL1_9,9,202,152.7121475,2nd UB,39
601,30,IT1,IT1_8,8,202,62.45672182,2nd UB,39
604,23,IT1,IT1_8,8,202,62.45672182,2nd UB,75
505,25,CB1,CB1_5,5,203,72.7631507,1st UB,51
005,23,IB3,IB3_4,4,203,43.8634244,1st UB,39
503,23,CL2,CL2_9,9,203,80.21215993,2nd UB,55
